Type,Chip,Disp,Electrolyte,Potential [V],Period [s],Pulses #,IDSant (2-3s) [A],Std IDSant [A],"IDSdep (+3, +4s) [A]",Std IDSdep [A],delIDS [A],Std del IDS [A],RatioIDS,Std RazIDS
Standard,1,1,KCl,-0.8,0.125,20,1.1155675621890549e-05,1.489589770800551e-07,1.0869042288557214e-05,1.3476874805657406e-07,-2.866333333333351e-07,2.008765598706646e-07,0.9743060534342824,0.0177537484647639
Standard,1,1,KCl,-0.8,0.11,20,1.1214864179104478e-05,1.221723725334323e-07,1.0904629850746268e-05,1.3698839259031272e-07,-3.102343283582094e-07,1.835535570751093e-07,0.9723372193007708,0.0161679743852993
Standard,1,1,KCl,-0.8,0.105,20,1.120685820895522e-05,1.198205076135805e-07,1.0892885074626866e-05,1.3142854056908417e-07,-3.139731343283549e-07,1.778494175444371e-07,0.9719838398528624,0.0156694519821136
Standard,1,1,KCl,-0.8,0.25,50,1.0674212437810944e-05,1.4095341675364717e-07,1.0578843283582093e-05,1.1921750528829289e-07,-9.536915422885445e-08,1.8460953188200085e-07,0.9910654622264186,0.0172049965873891
Standard,1,1,KCl,-0.8,0.15,50,1.0940211940298506e-05,1.264373653502653e-07,1.072344129353234e-05,1.349686494572662e-07,-2.167706467661665e-07,1.8494037875227485e-07,0.9801858823257632,0.0167489214803916
Standard,1,1,KCl,-0.8,0.125,50,1.105799502487562e-05,1.2412072298824406e-07,1.0884582089552236e-05,1.434314940227981e-07,-1.734129353233844e-07,1.896801184962103e-07,0.9843178682090848,0.0170385457269179
Standard,1,1,KCl,-0.8,0.11,50,1.104838656716418e-05,1.1789612999864233e-07,1.0893183084577112e-05,1.3316652211587506e-07,-1.5520348258706537e-07,1.7785617807963434e-07,0.9859523848442876,0.0159989607953293
Standard,1,1,KCl,-0.8,0.105,50,1.109915422885572e-05,1.290922352216717e-07,1.087817960199005e-05,1.3593619139817344e-07,-2.209746268656697e-07,1.8746587243113948e-07,0.9800908589691296,0.0167314909165701
Standard,1,1,KCl,0.8,0.25,10,9.951485422885571e-06,1.2558607820513104e-07,1.0669882089552238e-05,1.0456336584871365e-07,7.183966666666668e-07,1.634177484747518e-07,1.0721898928791636,0.0171314826457119
Standard,1,1,KCl,0.8,0.15,10,1.078452686567164e-05,1.1635500021325637e-07,1.1326846268656718e-05,1.2367862021589433e-07,5.423194029850779e-07,1.698083836950765e-07,1.0502868053221084,0.0161221616912593
Standard,1,1,KCl,0.8,0.125,10,1.092953184079602e-05,1.2748096987823152e-07,1.1439118905472637e-05,1.346175432133419e-07,5.09587064676614e-07,1.8540032530146905e-07,1.0466247843091054,0.0173416755048941
Standard,1,1,KCl,0.8,0.11,10,1.1000107462686566e-05,1.30504732075239e-07,1.1490651243781094e-05,1.3033470532036048e-07,4.905437810945281e-07,1.8444137416798628e-07,1.0445944535322496,0.0171456605982869
Standard,1,1,KCl,0.8,0.105,10,1.1051175621890546e-05,1.250624666026397e-07,1.1439592537313434e-05,1.2839991742220786e-07,3.884169154228873e-07,1.792405069920473e-07,1.0351471127337346,0.0164991182481753
Standard,1,1,KCl,0.8,0.25,20,9.978767512437813e-06,1.2786638007225013e-07,1.1177796517412933e-05,1.1308225916478217e-07,1.1990290049751215e-06,1.7069683210473497e-07,1.1201580258765045,0.0182878263795066
Standard,1,1,KCl,0.8,0.15,20,1.0419783084577112e-05,1.276744344512157e-07,1.1364978606965174e-05,1.357855334343453e-07,9.451955223880616e-07,1.8638259656547202e-07,1.0907116313953884,0.0186663394745711
Standard,1,1,KCl,0.8,0.125,20,1.0573506467661692e-05,1.2829146973965238e-07,1.1479735323383083e-05,1.2788681830438916e-07,9.062288557213908e-07,1.811456306510869e-07,1.0857075047424454,0.0178835972880034
Standard,1,1,KCl,0.8,0.11,20,1.0552509950248756e-05,1.365314912410227e-07,1.1415985074626868e-05,1.3922828296046516e-07,8.634751243781107e-07,1.950009304506438e-07,1.0818265160089005,0.019235216677505
Standard,1,1,KCl,0.8,0.105,20,1.0611109452736315e-05,1.265207665175919e-07,1.1332004975124378e-05,1.222867027731321e-07,7.208955223880612e-07,1.759589214428281e-07,1.067937808539159,0.0171742040358748
Standard,1,1,KCl,0.8,0.25,50,1.021024393034826e-05,1.1406206448234729e-07,1.2036810945273631e-05,1.1026958229540005e-07,1.8265670149253712e-06,1.5864909496614582e-07,1.1788955315255694,0.0170318057220808
Standard,1,1,KCl,0.8,0.15,50,1.027542074626866e-05,1.3165306438492164e-07,1.2147545273631844e-05,1.2964084576262874e-07,1.8721245273631848e-06,1.847681743482628e-07,1.1821944398766362,0.0197130267267847
Standard,1,1,KCl,0.8,0.125,50,1.0330935820895522e-05,1.2639885881782228e-07,1.2124653731343284e-05,1.373626255518852e-07,1.7937179104477622e-06,1.866685897759856e-07,1.1736258884524051,0.0195698610410487
Standard,1,1,KCl,0.8,0.11,50,1.0402880597014924e-05,1.3260934157004837e-07,1.1989248756218906e-05,1.3441199504116184e-07,1.5863681592039825e-06,1.8881690041568602e-07,1.1524931622938348,0.0195646664911693
Standard,1,1,KCl,0.8,0.105,50,1.0449315422885572e-05,1.247322280364832e-07,1.1951823880597017e-05,1.3053318821995308e-07,1.5025084577114423e-06,1.8054650907123889e-07,1.143790133315406,0.0185057584228201
