Type	Electrolyte	Potential [V]	Period [s]	A1_first [A]	A1_first [A]	A2_first [A]	A2_first [A]	Rat_first	Rat_first	A1_last [A]	A1_last [A]	A2_last [A]	A2_last [A]	Rat_last	Rat_last
				mean	std	mean	std	mean	std	mean	std	mean	std	mean	std
Standard	KCl	0.5	1.6	-2.7652149476031215e-05	5.711990962304062e-06	-2.8852182809364547e-05	5.114112374836363e-06	1.0474525928375582	0.04626271016388653	3.128098385730212e-05	4.331979314629714e-06	3.105045052396879e-05	4.111862908164244e-06	0.9932020527134165	0.00849570786124179
Standard	KCl	0.5	2.1	-2.8336346131549608e-05	5.566019624573063e-06	-2.8757579464882944e-05	5.748619947024172e-06	1.0147226124845945	0.01880924342975327	3.129215386845039e-05	4.339148882928855e-06	3.137558720178372e-05	3.866099655029695e-06	1.0040517256355779	0.015228421204482851
Standard	KCl	0.8	0.101	-5.4911750066666665e-05	1.1507790744600134e-05	-3.69707834e-05	6.688413505383596e-06	0.6762223194552434	0.030010755792083663	6.291071660000001e-05	1.1105859096734376e-05	6.260078326666666e-05	1.060772092539381e-05	0.9960662970794661	0.016816610079307775
Standard	KCl	0.8	0.102	-5.350731734671127e-05	1.2669430815491725e-05	-4.373218401337793e-05	9.700911567165595e-06	0.8198246255969517	0.03344837490174277	6.149388265328874e-05	1.17668684959022e-05	6.160514931995541e-05	1.1238577966894037e-05	1.0028262448444583	0.013719386075719379
Standard	KCl	0.8	0.105	-5.4839489400000005e-05	1.1196057508112663e-05	-4.835452273333333e-05	1.1485846377236606e-05	0.8781489371325307	0.029117058441012093	6.276044393333333e-05	1.1035398864040489e-05	6.267304393333333e-05	1.035792990734085e-05	0.9997759318734195	0.009969674996357411
Standard	KCl	0.8	0.11	-5.453974298773691e-05	1.2778074850987095e-05	-5.096740965440357e-05	1.2385613061489817e-05	0.9336771508358302	0.018628606066372386	6.248802367892976e-05	1.184485450088655e-05	6.237279034559643e-05	1.1386492234568575e-05	0.998989257190467	0.006937649243810343
Standard	KCl	0.8	0.12	-5.6282074013377927e-05	1.1302788737527744e-05	-5.308330734671126e-05	1.1162821998401162e-05	0.9423085242865316	0.018378258383950113	6.39444593199554e-05	1.07044588116854e-05	6.374579265328874e-05	1.002780038669265e-05	0.9980191642297688	0.011630967930322898
Standard	KCl	0.8	0.14	-5.835757181111111e-05	1.2638000035828064e-05	-5.6299171811111105e-05	1.2994770577088701e-05	0.9636181239822351	0.03327061801334751	6.604129485555557e-05	1.1531571900853286e-05	6.547309485555555e-05	1.119370886731244e-05	0.9918432337275068	0.0058109258649888165
Standard	KCl	0.8	0.15	-5.9268233955555554e-05	1.2944748313833286e-05	-5.8926500622222216e-05	1.262695768721344e-05	0.9948816700776592	0.006170420244488947	6.813073271111112e-05	1.1687047630520317e-05	6.735983271111111e-05	1.138675106256538e-05	0.9889918193351012	0.0044636201247459486
Standard	KCl	0.8	0.18	-3.0749909111111105e-05	1.106259030632526e-05	-3.0149892444444437e-05	1.1165930070663035e-05	0.9758409374484049	0.05401375218191068	3.5959634222222224e-05	9.429413812879005e-06	3.655566755555556e-05	9.351305583507635e-06	1.0177056965461422	0.007158296284756769
Standard	KCl	0.8	0.2	-2.8793643155555554e-05	9.281466382148261e-06	-2.836447315555556e-05	8.769442352078726e-06	0.9877003016973762	0.02786144268985529	3.305613351111111e-05	7.4525786774029065e-06	3.3799200177777775e-05	8.511588871954022e-06	1.0176482830441524	0.037547634270512754
Standard	KCl	0.8	0.3	-4.001898481111111e-05	7.10564137677079e-06	-4.0388518144444444e-05	6.3447109246152905e-06	1.0119479973569405	0.03691320638385957	4.878001518888889e-05	6.219805823136582e-06	4.823564852222222e-05	5.694596012561521e-06	0.9896141669468851	0.01118685768999636
Standard	KCl	0.8	0.5	-4.935317688888889e-05	9.777422695127086e-06	-4.8693543555555556e-05	9.917617856338207e-06	0.985959434710443	0.008460199495173747	5.824512311111111e-05	9.084277418347195e-06	5.810205644444444e-05	8.31029653415639e-06	0.9988345552186898	0.01595607659268312
Standard	KCl	0.8	0.6	-5.1181784526198444e-05	1.0726613959709699e-05	-5.046655119286511e-05	1.1048579743340176e-05	0.9848211592533018	0.00862218862925656	5.9762315473801563e-05	9.833427566312947e-06	5.953581547380156e-05	9.448638947604973e-06	0.9967991071276975	0.005896670015464813
Standard	KCl	0.8	0.85	-5.693914753623189e-05	1.1388270848135652e-05	-5.7336480869565224e-05	1.3768146303153865e-05	1.0018203130478749	0.03952152606530574	6.594575246376811e-05	1.1010736487961454e-05	6.577491913043478e-05	1.1395729888735917e-05	0.9967414493793948	0.006108352131441583
Standard	KCl	0.8	1.1	-5.8066873266443705e-05	1.2445269856537673e-05	-5.815033993311037e-05	1.1895175080141811e-05	1.0026605268098168	0.01495051213946056	6.710686006688963e-05	1.1044335255580492e-05	6.69360267335563e-05	1.1116932537089339e-05	0.9972729887916331	0.004381831469641162
Standard	KCl	0.8	1.6	-5.987245046822743e-05	1.3703209285530887e-05	-5.9268450468227426e-05	1.2696745231899355e-05	0.9919206596391267	0.015259935453939685	6.890144953177257e-05	1.2241338563795128e-05	6.864711619843924e-05	1.1767183030185467e-05	0.9969845196000232	0.006715163447671468
Standard	KCl	0.8	2.1	-6.0093920746934224e-05	1.2444656018962155e-05	-5.9346887413600886e-05	1.3487015660987887e-05	0.9848888762440446	0.02037094166443513	7.045217925306577e-05	1.3633591040488471e-05	6.956604591973244e-05	1.3089221261792398e-05	0.988048109047245	0.00543461893157209
Standard	MgCl2	-0.8	0.101	3.967259625555555e-05	4.568518635482e-06	1.9697096255555557e-05	2.061143451573981e-06	0.49724332723437664	0.026076013872498992	-4.0380437077777776e-05	4.136862377312285e-06	-3.229407041111111e-05	3.455446340647965e-06	0.7996440013915033	0.017756119301614106
Standard	MgCl2	-0.8	0.102	3.8309104425863995e-05	2.9543915384513644e-06	2.296690442586399e-05	1.666906327561418e-06	0.5996565965167212	0.0027538411394646325	-3.928422890746935e-05	3.3356151522466897e-06	-3.120179557413601e-05	1.9215661351409383e-06	0.7955277344079614	0.031813616972631444
Standard	MgCl2	-0.8	0.105	3.844670081111111e-05	3.847172979356402e-06	2.6843667477777775e-05	2.977668266495528e-06	0.6983787750456755	0.03997777823055472	-3.861016585555556e-05	3.2426087841323453e-06	-3.0579465855555554e-05	1.355397187884638e-06	0.7937465965865377	0.032278943564891714
Standard	MgCl2	-0.8	0.11	4.103589381270902e-05	3.969693244387702e-06	3.2405127146042364e-05	2.8357674298264788e-06	0.7901256785171596	0.007069153990817903	-4.09284395206243e-05	3.67451448055529e-06	-3.32712395206243e-05	2.7539381374698896e-06	0.8134403249565704	0.025110538127633832
Standard	MgCl2	-0.8	0.12	4.170093607580825e-05	4.078608797112012e-06	3.386890274247492e-05	3.725199108212484e-06	0.8115556754094108	0.016227549146147203	-4.1439630590858414e-05	3.4971954982150648e-06	-3.509373059085842e-05	3.035729445096513e-06	0.8469638775701691	0.023870036326070765
