Type,Chip,Disp,Electrolyte,Width [s],Interval [s],Train pulses #,Resistor,Measure #,Polarization,IDSmed [A],Std IDS [A],delIDS [A],Std delIDS [A],Gn [S],Std Gn [S]
Standard,2,1,KCl,0.1,0.1,40,0,94,neg,5.444288626677008e-06,4.0947337828681536e-08,3.7003536073662157e-09,5.772908775540311e-08,6.991426051694414e-07,6.216544312398662e-07
Standard,2,1,KCl,0.1,0.1,40,0,95,neg,5.445248664479798e-06,4.0984751469774944e-08,9.600378027901452e-10,5.7934741980053684e-08,8.451028805511271e-07,5.727519079173951e-07
Standard,2,1,KCl,0.1,0.1,40,0,96,neg,5.445007764137699e-06,4.011913854574727e-08,-2.4090034209896846e-10,5.7352376853030977e-08,6.862074390561734e-07,5.412332940830933e-07
Standard,2,1,KCl,0.1,0.1,40,0,97,neg,5.4470121002933325e-06,4.163724436447268e-08,2.004336155633619e-09,5.78204582818199e-08,6.039042582524991e-07,5.606391746138405e-07
Standard,2,1,KCl,0.1,0.1,40,0,98,neg,5.447170513600048e-06,4.05561688402742e-08,1.5841330671511326e-10,5.8124546873654326e-08,6.645085936072916e-07,6.239491287334578e-07
Standard,2,1,KCl,0.1,0.1,40,0,99,neg,5.446274450481393e-06,4.1096341444974994e-08,-8.96063118654996e-10,5.7738307138006713e-08,7.530623552159116e-07,6.116090358448789e-07
Standard,2,1,KCl,0.1,0.1,40,0,100,neg,5.44710978415837e-06,4.04868690527985e-08,8.35333676977753e-10,5.768965111578005e-08,4.812138364301347e-07,5.873060264417279e-07
Standard,2,1,KCl,0.1,0.1,40,0,101,neg,5.44813337497048e-06,4.1411078962777946e-08,1.0235908121096643e-09,5.7914281714961153e-08,5.762089770162092e-07,5.701481295190586e-07
Standard,2,1,KCl,0.1,0.1,40,0,102,neg,5.449635446811127e-06,4.19210106500276e-08,1.502071840646638e-09,5.8925788877037163e-08,3.330280988946287e-07,6.158812548691382e-07
Standard,2,1,KCl,0.1,0.1,40,0,103,neg,5.449539528192624e-06,4.280254163073618e-08,-9.591861850263419e-11,5.99118410998246e-08,6.332763818439643e-07,6.3607988809602e-07
Standard,2,1,KCl,0.1,0.1,40,0,104,neg,5.453198305489919e-06,4.187089440430549e-08,3.658777297294514e-09,5.987678488585879e-08,5.766744595366171e-07,5.752415558669231e-07
Standard,2,1,KCl,0.1,0.1,40,0,105,neg,5.452491367660431e-06,4.281046961280197e-08,-7.069378294874181e-10,5.988245241041104e-08,4.102825671038345e-07,5.512506065412072e-07
Standard,2,1,KCl,0.1,0.1,40,0,106,neg,5.454070730014461e-06,4.1210817534641e-08,1.579362354029709e-09,5.9422788476662e-08,4.383873265825959e-07,5.554352607015404e-07
Standard,2,1,KCl,0.1,0.1,40,0,107,neg,5.453895185134818e-06,4.1193208605513537e-08,-1.7554487964268467e-10,5.826844701114686e-08,5.870836671658465e-07,5.70531996939107e-07
Standard,2,1,KCl,0.1,0.1,40,0,108,neg,5.457896784057746e-06,4.1223178095806575e-08,4.001598922927479e-09,5.827718977040624e-08,5.239989599872488e-07,5.77577571579656e-07
Standard,2,1,KCl,0.1,0.1,40,0,109,neg,5.4566694995049724e-06,4.2907031188904416e-08,-1.2272845527732375e-09,5.9500955771854644e-08,5.072774142667093e-07,6.249354368113668e-07
Standard,2,1,KCl,0.1,0.1,40,0,110,neg,5.460793586693895e-06,4.1535536465289465e-08,4.124087188922562e-09,5.971778725727375e-08,6.60246719857364e-07,5.833958462689933e-07
Standard,2,1,KCl,0.1,0.1,40,0,111,neg,5.458210807773867e-06,4.185223687709298e-08,-2.5827789200283204e-09,5.8964485252359256e-08,6.070250802277398e-07,5.747240784085871e-07
Standard,2,1,KCl,0.1,0.1,40,0,112,neg,5.462386603870651e-06,4.337442971550286e-08,4.175796096784286e-09,6.027396523177649e-08,5.937911572868182e-07,6.214298752014435e-07
