Type,Electrolyte,Width [s],Interval [s],Train pulses #,Resistor,Measure #,Polarization,IDSmed [A],IDSmed [A],delIDS [A],delIDS [A],Gn [S],Gn [S]
,,,,,,,,mean,std,mean,std,mean,std
Standard,KCl,0.1,0.03,10,0,59,pos,6.778853522367474e-06,2.6282618968914295e-06,-4.7953866063226295e-09,3.0197065528290378e-09,1.4015409295782116e-06,7.018479150265999e-07
Standard,KCl,0.1,0.03,10,0,60,pos,6.776203117434913e-06,2.627075785789099e-06,-2.6504049325621755e-09,2.8946232975610632e-09,1.413532850934179e-06,7.691872608765604e-07
Standard,KCl,0.1,0.03,10,0,61,neg,6.643130618044779e-06,2.6575632378411377e-06,-1.3307249939013374e-07,7.049239989068894e-08,1.6790269847870854e-07,1.8791017774443095e-07
Standard,KCl,0.1,0.03,10,0,62,neg,6.657835792604298e-06,2.6772275536110977e-06,1.4705174559518452e-08,2.0021179185000038e-08,2.683189569349947e-07,2.2328468785440841e-07
Standard,KCl,0.1,0.03,10,0,63,neg,6.669447917791634e-06,2.6898985180896015e-06,1.1612125187336722e-08,1.4797871706939648e-08,4.2235415292926073e-07,2.847037980358603e-07
Standard,KCl,0.1,0.03,10,0,64,neg,6.6797506358777054e-06,2.7024512245142956e-06,1.0302718086070877e-08,1.2628926067270875e-08,4.351460698376813e-07,5.058109967589746e-07
Standard,KCl,0.1,0.03,10,0,65,neg,6.68528043945571e-06,2.7062298433364084e-06,5.529803578003987e-09,4.230232364714113e-09,4.351689212894799e-07,3.119020747398674e-07
Standard,KCl,0.1,0.03,10,0,66,neg,6.693774054156165e-06,2.714852844238606e-06,8.493614700456357e-09,9.387668609186764e-09,7.500542441162271e-07,5.099214482061579e-07
Standard,KCl,0.1,0.03,10,0,67,neg,6.702155085728616e-06,2.7173071990876257e-06,8.381031572450107e-09,3.341951280096477e-09,5.239038037253482e-07,4.3739958542469487e-07
Standard,KCl,0.1,0.03,10,0,68,neg,6.704160270487591e-06,2.724049616924335e-06,2.0051847589757225e-09,6.742625378519317e-09,6.379529944535277e-07,4.418316026350215e-07
Standard,KCl,0.1,0.03,10,0,69,neg,6.7061529070618535e-06,2.7218716590398406e-06,1.9926365742624816e-09,2.1812632283573567e-09,6.084238436189932e-07,2.5436734827542116e-07
Standard,KCl,0.1,0.03,10,0,70,neg,6.7104151592426815e-06,2.7237514669862466e-06,4.262252180827393e-09,2.4015485253833848e-09,6.433988083961497e-07,5.67431755644807e-07
Standard,KCl,0.1,0.03,10,0,71,pos,6.828158537549218e-06,2.676048861451776e-06,1.1774337830653689e-07,8.596854015415137e-08,1.8734456808678514e-06,3.5041272171476944e-07
Standard,KCl,0.1,0.03,10,0,72,pos,6.816686431913392e-06,2.6604472626412176e-06,-1.1472105635826424e-08,1.7500297155172988e-08,1.7238964239344304e-06,4.5653592892570593e-07
Standard,KCl,0.1,0.03,10,0,73,pos,6.805369641445698e-06,2.6509539806640756e-06,-1.1316790467693258e-08,1.0150118375539973e-08,1.5344177092929318e-06,5.837467820417012e-07
Standard,KCl,0.1,0.03,10,0,74,pos,6.7975270544214555e-06,2.644359805551074e-06,-7.842587024242677e-09,7.913373166997559e-09,1.6261177309961725e-06,5.787096942893582e-07
Standard,KCl,0.1,0.03,10,0,75,pos,6.79139330372891e-06,2.636654710690851e-06,-6.133750692545639e-09,7.714073192129382e-09,1.6799509356766739e-06,4.221170938605535e-07
Standard,KCl,0.1,0.03,10,0,76,pos,6.7878231675422285e-06,2.6419360317244707e-06,-3.570136186681621e-09,5.494406969482156e-09,1.3537609960751073e-06,6.36626015963979e-07
Standard,KCl,0.1,0.03,10,0,77,pos,6.785841293321936e-06,2.6343315408887815e-06,-1.9818742202917847e-09,9.54351686392856e-09,1.3994579841614887e-06,5.566522518976718e-07
Standard,KCl,0.1,0.03,10,0,78,pos,6.7822104720486704e-06,2.6317981827838116e-06,-3.630821273266823e-09,2.856867875459088e-09,1.3079645057194297e-06,7.543199042042419e-07
Standard,KCl,0.1,0.03,10,0,79,pos,6.778909432606876e-06,2.6259036814176138e-06,-3.301039441793708e-09,6.822897516230599e-09,1.2628774878791298e-06,8.23367485633781e-07
Standard,KCl,0.1,0.03,10,0,80,pos,6.777833438794308e-06,2.627276992029006e-06,-1.075993812568089e-09,3.9007264731664985e-09,1.3366191170295547e-06,6.384851032877741e-07
Standard,KCl,0.1,0.03,10,0,81,neg,6.6444313565246676e-06,2.6632099995910394e-06,-1.3340208226963968e-07,7.426060930058882e-08,5.792463958269686e-08,9.794206127546787e-08
Standard,KCl,0.1,0.03,10,0,82,neg,6.658728300597734e-06,2.6783288302805166e-06,1.4296944073066418e-08,1.7167316353286896e-08,2.8974374868058885e-07,3.268316463149961e-07
Standard,KCl,0.1,0.03,10,0,83,neg,6.672456597319371e-06,2.6961650734793494e-06,1.3728296721637327e-08,1.8130086755758707e-08,2.8389905801452065e-07,2.810201201782905e-07
Standard,KCl,0.1,0.03,10,0,84,neg,6.680715027111243e-06,2.697534496574446e-06,8.258429791871053e-09,2.037276117697047e-09,4.2065359373341736e-07,4.446581361443652e-07
Standard,KCl,0.1,0.03,10,0,85,neg,6.689910819090983e-06,2.7061593600572924e-06,9.195791979739928e-09,8.632212195451204e-09,5.198025006066884e-07,5.254052359154692e-07
Standard,KCl,0.1,0.03,10,0,86,neg,6.698587929084472e-06,2.709006116768576e-06,8.677109993489487e-09,3.448496329706006e-09,6.927210058700045e-07,7.661008868025994e-07
Standard,KCl,0.1,0.03,10,0,87,neg,6.700148470410265e-06,2.7175014333606775e-06,1.5605413257923318e-09,8.515275522469718e-09,6.505929091781209e-07,5.126524907182932e-07
Standard,KCl,0.1,0.03,10,0,88,neg,6.708219387974168e-06,2.7229497459282407e-06,8.070917563903398e-09,5.983403804115845e-09,6.005653051791945e-07,4.495355054229776e-07
Standard,KCl,0.1,0.03,10,0,89,neg,6.711393586063726e-06,2.718460317649553e-06,3.1741980895576697e-09,4.515577139867996e-09,5.589684941248019e-07,5.561312138250095e-07
