Type	Chip	Disp	Electrolyte	Measure	Sweep	VGSmin [V]	IDSmin [A]	IDSmax [A]	Ronoff	Res [ohm]	IDS(-0.6V) [A]	IDS(+0.6V) [A]	VGS min |gm| [V]	min |gm| [S]	VGS min gm [V]	min gm [S]	VGS max gm [V]	max gm [S]
Enode	1	1	MgCl2	250	2	0.22	9.05671e-06	1.96485e-05	2.169496428614806	10200.997392319035	1.96485e-05	1.058977e-05	0.22	4.1849999999959634e-08	-0.58	-2.455174999999997e-05	0.6	7.283499999999938e-06
Enode	1	1	MgCl2	210	2	0.14	9.08208e-06	2.016647e-05	2.2204682187340343	10591.88176748426	2.016647e-05	1.153713e-05	0.14	2.328250000000311e-07	-0.6	-2.5778499999999987e-05	0.58	8.378999999999982e-06
Enode	1	1	MgCl2	230	2	0.16	9.16795e-06	2.023197e-05	2.206815045893575	10345.86217242414	2.023197e-05	1.137593e-05	0.16	5.6925000000004574e-08	-0.58	-2.5995999999999973e-05	0.6	8.572999999999936e-06
Enode	1	1	MgCl2	140	2	0.12	1.096427e-05	2.24658e-05	2.0490009822815383	8844.5247527292	2.24658e-05	1.359653e-05	0.14	3.089999999999864e-07	-0.56	-2.693250000000019e-05	0.56	8.968500000000048e-06
Enode	1	1	MgCl2	150	1	0.14	1.087247e-05	1.857833e-05	1.7087497137265035	8864.933867593349	1.60938e-05	1.34072e-05	0.14	1.8925000000002534e-07	-0.38	-1.759175e-05	-0.6	9.57134999999998e-05
Enode	1	1	MgCl2	110	2	0.14	1.1308e-05	2.53412e-05	2.240997523876901	8465.629965621078	2.53412e-05	1.416553e-05	0.14	1.5325000000005484e-07	-0.5	-2.9729250000000017e-05	0.52	8.918249999999989e-06
Enode	1	1	MgCl2	152	1	0.2	1.10982e-05	1.839437e-05	1.6574192211349588	8518.881675289194	1.6331e-05	1.27362e-05	0.2	1.6674999999999633e-07	-0.4	-1.536750000000008e-05	-0.6	8.498499999999992e-05
Enode	1	1	MgCl2	151	1	0.34	1.145287e-05	2.35722e-05	2.0581915275385123	7266.174504446899	2.03652e-05	1.252493e-05	0.34	2.8425000000000325e-07	-0.38	-2.107249999999997e-05	-0.6	0.0001324764999999
Enode	1	3	KCl	230	2	0.1	8.169217e-06	1.765753e-05	2.161471533930363	11923.815878635583	1.765753e-05	1.09637e-05	0.1	3.6175000000003095e-08	-0.56	-2.123750000000008e-05	0.58	8.916749999999911e-06
Enode	1	3	KCl	250	2	0.14	8.18779e-06	1.7484e-05	2.135374747031861	11710.8771798334	1.7484e-05	1.05343e-05	0.14	1.257500000000284e-07	-0.58	-2.069575000000003e-05	0.6	8.411499999999989e-06
