Type,Electrolyte,Potential [V],Period [s],A1_first [A],A1_first [A],A2_first [A],A2_first [A],Rat_first,Rat_first,A1_last [A],A1_last [A],A2_last [A],A2_last [A],Rat_last,Rat_last
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Bicamada,KCl,-0.5,1.6,1.7865137012263103e-05,3.34029524298677e-06,1.4552503678929765e-05,3.541703172822083e-06,0.8094206959529683,0.045208472138937,-1.646239632107023e-05,2.3253525804361895e-06,-1.3577562987736897e-05,2.728725729158003e-06,0.8202069085243372,0.04864417347545478
Bicamada,KCl,-0.5,2.1,1.8770824749163876e-05,7.5547025989696445e-06,2.2966691415830538e-05,6.725491009562333e-06,1.278105783288618,0.3770782344108177,-1.1159141917502794e-05,3.0265948539303385e-06,-1.975014191750279e-05,1.0223771894191155e-05,2.013169968743041,1.3610109589790178
Bicamada,KCl,0.5,0.101,-2.0578749888888888e-05,1.3948721901887625e-06,-1.2134716555555554e-05,4.929636142937744e-07,0.590911264551455,0.03355591349343614,2.2631583444444454e-05,1.5075222003398892e-06,2.2964916777777787e-05,9.306344108938994e-07,1.0159552940319765,0.027635379913083905
Bicamada,KCl,0.5,0.102,-2.00131983277592e-05,1.0596069131953995e-06,-1.647663166109253e-05,1.0878346794948954e-06,0.8229044620493702,0.011992345944559639,2.2990035005574142e-05,1.9438758887288468e-06,2.2990035005574142e-05,9.879255786962064e-07,1.0024648865526145,0.04430384433009368
Bicamada,KCl,0.5,0.105,-2.009735311111111e-05,1.7346385759678232e-06,-1.7438953111111107e-05,2.034414199411964e-06,0.8663546284338342,0.03532308979550215,2.2462846888888894e-05,1.914347431241889e-06,2.1732146888888895e-05,2.3869620691517207e-06,0.9661802758215776,0.030394773421841527
Bicamada,KCl,0.5,0.11,-1.9762290746934224e-05,1.6220448399742251e-06,-1.9702724080267555e-05,1.320449252926327e-06,0.9997871965370422,0.07982119361774892,2.2347742586399115e-05,1.0168493155720498e-06,2.2681075919732447e-05,1.5916017152505487e-06,1.014176179357135,0.024553862903766953
Bicamada,KCl,0.5,0.12,-2.077576822742475e-05,7.264806255009916e-07,-2.0751901560758078e-05,1.9660179084231582e-06,0.9974358282935577,0.061035929408694574,2.3605431772575255e-05,1.5749546663744523e-06,2.3605431772575255e-05,1.5749546663744523e-06,1.0,0.0
Bicamada,KCl,0.5,0.14,-2.2693890777777774e-05,9.57399820085469e-07,-2.235215744444444e-05,1.6345165741009716e-06,0.9844614881081398,0.04570901382846422,2.5297042555555558e-05,2.11876989771837e-06,2.5297042555555558e-05,1.322500111963766e-06,1.0020516130993782,0.040721338374125254
Bicamada,KCl,0.5,0.15,-2.319494544444444e-05,2.2750317564248067e-06,-2.3337978777777774e-05,1.4105937891293349e-06,1.0087492464575156,0.03990420021967519,2.6308621222222226e-05,2.300412511861795e-06,2.5975287888888894e-05,1.8661488723087402e-06,0.9882840904673479,0.020292550567434058
Bicamada,KCl,0.5,0.18,-2.4383280000000003e-05,1.5587622002388412e-06,-2.4383280000000003e-05,2.4007255606781512e-06,0.9986649155824678,0.04318437474929606,2.729248666666666e-05,2.0866434745048045e-06,2.729248666666666e-05,2.0866434745048045e-06,1.0,0.0
