Type,Chip,Disp,Electrolyte,Potential [V],Period [s],A1_first [A],A2_first [A],Rat_first,A1_last [A],A2_last [A],Rat_last
Standard,1,3,MgCl2,-0.8,0.85,3.64725816722408e-05,3.09054816722408e-05,0.8473620526775841,-3.63762183277592e-05,-2.72090183277592e-05,0.7479891967493394
Standard,1,3,MgCl2,-0.8,0.6,2.98963562541806e-05,3.46170562541806e-05,1.1579021858003138,-3.06142437458194e-05,-2.19477437458194e-05,0.7169128177081469
Standard,1,3,MgCl2,-0.8,0.5,3.45314751e-05,4.44734751e-05,1.2879112453554005,-2.28917249e-05,-2.58957249e-05,1.1312264590424117
Standard,1,3,MgCl2,-0.8,0.3,5.420659396666666e-05,6.431549396666665e-05,1.1864883819525034,-3.0312806033333334e-05,-5.4571906033333337e-05,1.8002921264802605
Standard,1,3,MgCl2,-0.8,0.2,6.334351533333333e-05,5.880161533333334e-05,0.9282973170008154,-6.111098466666667e-05,-5.699828466666666e-05,0.9327011334797995
Standard,1,3,MgCl2,-0.8,0.18,6.200968903333334e-05,5.8409489033333335e-05,0.9419413311673808,-5.953611096666666e-05,-5.567371096666666e-05,0.9351250873245232
Standard,1,3,MgCl2,-0.8,0.15,4.93344382e-05,4.46138382e-05,0.9043143051338124,-4.96688618e-05,-4.324346179999999e-05,0.8706352477761025
Standard,1,3,MgCl2,-0.8,0.14,4.71786449e-05,3.97161449e-05,0.8418246218004451,-4.53993551e-05,-3.91408551e-05,0.8621456188922825
Standard,1,3,MgCl2,-0.8,0.12,4.598005254180602e-05,3.749235254180602e-05,0.8154047346448158,-4.547734745819398e-05,-3.844404745819398e-05,0.8453449817743764
Standard,1,3,MgCl2,-0.8,0.11,4.561473665551839e-05,3.567263665551839e-05,0.7820419292325954,-4.5151263344481606e-05,-3.61509633444816e-05,0.8006633849570896
Standard,1,3,MgCl2,-0.8,0.105,4.175678863333333e-05,2.778548863333333e-05,0.665412488429556,-4.2333411366666665e-05,-3.2045711366666665e-05,0.7569839125202054
Standard,1,3,MgCl2,-0.8,0.102,4.126961782608696e-05,2.4639917826086955e-05,0.597047395251424,-4.307098217391304e-05,-3.296198217391304e-05,0.7652944165707287
Standard,1,3,MgCl2,-0.8,0.101,4.43676709e-05,2.10503709e-05,0.4744529174732947,-4.51108291e-05,-3.62774291e-05,0.8041844901493953
Standard,1,3,MgCl2,0.8,2.1,-5.643966384615385e-05,-5.823966384615385e-05,1.0318924649322243,7.179383615384615e-05,7.196073615384616e-05,1.0023247121054009
Standard,1,3,MgCl2,0.8,1.6,-5.732143986622074e-05,-5.920493986622074e-05,1.0328585605036404,7.142466013377926e-05,7.125776013377926e-05,0.9976632720451536
Standard,1,3,MgCl2,0.8,1.1,-5.758664384615385e-05,-5.775354384615385e-05,1.0028982414819292,7.073025615384615e-05,7.047985615384614e-05,0.996459789436428
Standard,1,3,MgCl2,0.8,0.85,-5.639180705685618e-05,-5.792960705685619e-05,1.0272699188101837,6.918329294314381e-05,6.858719294314382e-05,0.9913837579184056
Standard,1,3,MgCl2,0.8,0.6,-5.260420160535117e-05,-5.303340160535117e-05,1.008159044085869,6.379169839464882e-05,6.354139839464882e-05,0.9960762919580616
Standard,1,3,MgCl2,0.8,0.5,-4.8935598366666665e-05,-4.8673398366666667e-05,0.9946419373880876,5.958060163333333e-05,5.931830163333333e-05,0.9955975604003762
