IDSant (2-3s) [A],IDSant (2-3s) [A],"IDSdep (+3, +4s) [A]","IDSdep (+3, +4s) [A]",delIDS [A],delIDS [A],RatioIDS,RatioIDS
mean,std,mean,std,mean,std,mean,std
8.046112736318401e-06,4.933302956137113e-07,8.142349950248747e-06,5.014572293219656e-07,9.62372139303465e-08,1.2550836870443507e-08,1.0119489381387121,0.0011973487094990474
8.05918029850745e-06,4.537237430053441e-07,8.202191724709778e-06,4.807720585629698e-07,1.4301142620232697e-07,3.5834360375503083e-08,1.0176566985103108,0.003738604249097909
8.073849021558862e-06,4.658392539293871e-07,8.348524908789378e-06,4.869715963767133e-07,2.7467588723051645e-07,6.378037673257956e-08,1.0340092895452913,0.007393860886964889
7.95938441127694e-06,4.977006660904782e-07,8.059259220563841e-06,4.6119530126001315e-07,9.987480928690032e-08,3.7752369755859685e-08,1.0127816458748298,0.005720249656947335
7.97826424543946e-06,4.736705542524179e-07,8.110936500829176e-06,4.7624394400243193e-07,1.326722553897173e-07,2.8178993373090776e-09,1.0166564969737975,0.0007027341754985108
8.01074545605306e-06,4.7250101590707896e-07,8.269308789386391e-06,5.35089401670968e-07,2.585633333333306e-07,6.419519996001632e-08,1.0320370965110717,0.006370471513580425
7.946494875621882e-06,4.970503652286819e-07,8.074955970149245e-06,5.369623501240684e-07,1.2846109452736295e-07,6.810355360573907e-08,1.0160078660978844,0.007926689864402864
7.876886898839133e-06,4.7194937804637734e-07,8.054771542288548e-06,4.7508664879109713e-07,1.7788464344941555e-07,3.177936126912852e-08,1.0226258007869549,0.00403250457168539
7.953216434494186e-06,5.120892803276721e-07,8.270336832504138e-06,5.500516943062498e-07,3.1712039800995246e-07,6.205874007798457e-08,1.0397865430156423,0.006494584452539061
7.831951177446094e-06,4.944873613637823e-07,7.975792918739626e-06,5.409262898225051e-07,1.438417412935313e-07,5.4906281199268785e-08,1.0181612052915987,0.006171570182270883
7.809196533996679e-06,5.070269082688773e-07,7.983325240464335e-06,5.085525698968644e-07,1.7412870646765597e-07,2.3940389824756076e-08,1.0223586063813184,0.0032799645482709887
7.949262553897173e-06,4.783941004607206e-07,8.163582354892199e-06,4.906493229199011e-07,2.143198009950256e-07,7.77837319526949e-08,1.026990738356561,0.009476085683952461
8.781710514096176e-06,1.4441726632635453e-06,9.158929734660026e-06,1.4139497871633643e-06,3.7721922056385084e-07,1.4901252991997572e-07,1.0441991065159302,0.01854646868448858
8.595681708126028e-06,1.4217077536359241e-06,9.11442751243781e-06,1.377154174051626e-06,5.187458043117825e-07,1.2478352248782377e-07,1.0621714426534268,0.020118950013109604
8.553394908789381e-06,1.4993521999901147e-06,9.18528195688225e-06,1.412319548739248e-06,6.318870480928687e-07,2.559293297172886e-07,1.0769196677904216,0.03518770846381086
