Timestamp (s),Current SMUA (A),Voltage SMUA (V),Current SMUb (A),Voltage SMUb (V)
0.596,0.0,3.71933e-05,6.40154e-06,0.100028
0.598,-1.15633e-06,1.50204e-05,6.31809e-06,0.100032
0.6,-6.4373e-07,3.71933e-05,6.23465e-06,0.10003
0.602,-2.14577e-07,3.71933e-05,5.85318e-06,0.100027
0.604,-7.27177e-07,2.86102e-05,6.58035e-06,0.100027
0.606,-1.33514e-06,2.36034e-05,5.88894e-06,0.100028
0.608,-1.3113e-07,3.62396e-05,6.31809e-06,0.10003
0.61,-9.89437e-07,3.8147e-05,6.06775e-06,0.10003
0.612,-7.27177e-07,4.22001e-05,6.1512e-06,0.10003
0.614,-2.14577e-07,2.36034e-05,6.1512e-06,0.100027
0.616,-9.89437e-07,1.5974e-05,6.36578e-06,0.100029
0.618,-6.07967e-07,1.69277e-05,6.40154e-06,0.100031
0.62,-4.76837e-07,1.78814e-05,6.02007e-06,0.10003
0.622,-1.12057e-06,2.76566e-05,6.1512e-06,0.100028
0.624,-1.2517e-06,3.62396e-05,6.1512e-06,0.100031
0.626,0.0,1.78814e-05,6.36578e-06,0.100028
0.628,-6.4373e-07,1.50204e-05,6.02007e-06,0.10003
0.63,-5.60284e-07,5.65052e-05,6.36578e-06,0.100034
0.632,-8.58307e-07,4.98295e-05,6.23465e-06,0.100027
0.634,-1.03712e-06,2.95639e-05,6.31809e-06,0.10003
0.636,-3.93391e-07,2.86102e-05,6.31809e-06,0.100031
0.638,-8.58307e-07,2.16961e-05,6.23465e-06,0.100032
0.64,-8.22544e-07,2.95639e-05,6.10352e-06,0.100028
0.642,-3.93391e-07,3.43323e-05,6.10352e-06,0.100035
0.644,-9.89437e-07,3.33786e-05,6.23465e-06,0.100026
0.646,-2.6226e-07,3.24249e-05,6.10352e-06,0.100033
0.648,-4.76837e-07,3.62396e-05,6.36578e-06,0.10003
0.65,-6.91414e-07,3.24249e-05,6.36578e-06,0.100032
0.652,-4.76837e-07,3.8147e-05,5.98431e-06,0.10003
0.654,-6.07967e-07,3.24249e-05,6.28233e-06,0.100032
0.656,-6.91414e-07,3.8147e-05,6.61612e-06,0.100027
0.658,-5.60284e-07,4.88758e-05,5.85318e-06,0.100028
0.66,-3.45707e-07,2.76566e-05,6.31809e-06,0.100033
