Timestamp (s),Current SMUA (A),Voltage SMUA (V),Current SMUb (A),Voltage SMUb (V)
0.436,-1.12057e-06,4.60148e-05,6.53267e-06,0.100034
0.438,-2.14577e-07,2.76566e-05,6.53267e-06,0.100034
0.44,-5.60284e-07,3.43323e-05,6.36578e-06,0.100032
0.442,-9.41753e-07,4.1008e-05,6.31809e-06,0.100035
0.444,-4.29153e-07,3.8147e-05,6.1512e-06,0.100033
0.446,-6.4373e-07,4.88758e-05,6.74725e-06,0.100031
0.448,-1.12057e-06,3.24249e-05,5.76973e-06,0.100039
0.45,-4.76837e-07,3.14713e-05,6.31809e-06,0.100034
0.452,-1.3113e-07,5.45979e-05,6.58035e-06,0.100037
0.454,-3.09944e-07,4.60148e-05,6.40154e-06,0.100044
0.456,-4.76837e-08,4.1008e-05,6.06775e-06,0.100035
0.458,-3.09944e-07,4.22001e-05,6.36578e-06,0.100039
0.46,-4.29153e-07,4.41074e-05,6.49691e-06,0.100044
0.462,-4.76837e-07,4.22001e-05,6.53267e-06,0.100034
0.464,-7.27177e-07,4.79221e-05,6.49691e-06,0.100038
0.466,-4.76837e-07,4.69685e-05,6.31809e-06,0.100039
0.468,-6.07967e-07,2.67029e-05,6.31809e-06,0.100036
0.47,-1.41859e-06,2.86102e-05,6.71148e-06,0.100032
0.472,-7.7486e-07,4.69685e-05,6.1512e-06,0.100041
0.474,-3.45707e-07,3.91006e-05,6.31809e-06,0.100037
0.476,-4.29153e-07,4.60148e-05,6.6638e-06,0.100033
0.478,-1.78814e-07,3.91006e-05,6.31809e-06,0.100034
0.48,-6.4373e-07,2.26498e-05,6.31809e-06,0.100036
0.482,-2.14577e-07,5.17368e-05,6.31809e-06,0.100036
0.484,-3.45707e-07,4.41074e-05,6.44922e-06,0.10004
0.486,-1.3113e-07,2.67029e-05,6.31809e-06,0.100034
0.488,-7.27177e-07,3.43323e-05,6.49691e-06,0.10004
0.49,-2.6226e-07,1.69277e-05,6.31809e-06,0.100037
0.492,-3.09944e-07,3.71933e-05,6.18696e-06,0.100036
0.494,1.66893e-07,3.14713e-05,6.40154e-06,0.100035
0.496,-1.28746e-06,2.07424e-05,6.10352e-06,0.100038
0.498,-4.29153e-07,3.33786e-05,6.02007e-06,0.100036
0.5,-6.4373e-07,3.52859e-05,6.31809e-06,0.100046
0.502,-9.89437e-07,2.16961e-05,6.31809e-06,0.100042
0.504,-1.33514e-06,2.67029e-05,6.10352e-06,0.100039
0.506,5.126e-07,3.62396e-05,6.28233e-06,0.100034
0.508,-3.45707e-07,4.31538e-05,6.53267e-06,0.100038
0.51,-6.4373e-07,1.5974e-05,6.10352e-06,0.100038
0.512,-9.53674e-08,2.76566e-05,6.40154e-06,0.100032
0.514,-6.4373e-07,3.91006e-05,6.6638e-06,0.100033
0.516,-7.27177e-07,3.33786e-05,6.10352e-06,0.100042
0.518,-1.78814e-07,1.50204e-05,6.61612e-06,0.100034
0.52,-9.41753e-07,2.67029e-05,6.36578e-06,0.100044
0.522,-3.45707e-07,3.91006e-05,5.85318e-06,0.100037
0.524,0.0,3.24249e-05,6.18696e-06,0.100035
0.526,-8.22544e-07,4.22001e-05,6.28233e-06,0.100041
0.528,-6.91414e-07,4.60148e-05,6.18696e-06,0.10004
0.53,-5.24521e-07,1.78814e-05,6.31809e-06,0.100039
0.532,0.0,3.14713e-05,6.61612e-06,0.100036
0.534,-4.76837e-07,4.31538e-05,6.23465e-06,0.100038
0.536,-9.41753e-07,2.67029e-05,6.36578e-06,0.100038
0.538,-1.3113e-07,5.36442e-05,6.49691e-06,0.100035
0.54,-9.41753e-07,3.91006e-05,6.23465e-06,0.10004
0.542,-4.76837e-07,3.8147e-05,6.28233e-06,0.100034
0.544,-9.53674e-08,6.4373e-05,6.49691e-06,0.100038
0.546,-4.76837e-07,5.55515e-05,5.80549e-06,0.100041
0.548,-6.91414e-07,3.91006e-05,6.58035e-06,0.100035
0.55,0.0,3.52859e-05,6.31809e-06,0.100038
0.552,-5.24521e-07,2.47955e-05,6.10352e-06,0.100037
0.554,-7.27177e-07,3.71933e-05,6.10352e-06,0.100037
0.556,0.0,4.60148e-05,6.28233e-06,0.100038
0.558,-3.45707e-07,3.8147e-05,6.61612e-06,0.100037
0.56,-9.05991e-07,4.50611e-05,6.40154e-06,0.100039
0.562,-3.09944e-07,5.45979e-05,6.31809e-06,0.100038
0.564,-4.29153e-07,4.22001e-05,6.23465e-06,0.100035
0.566,-4.76837e-07,5.07832e-05,6.10352e-06,0.100042
0.568,-7.7486e-07,3.8147e-05,6.36578e-06,0.100035
0.57,-6.4373e-07,4.41074e-05,5.80549e-06,0.100039
0.572,-1.03712e-06,3.14713e-05,5.98431e-06,0.100042
0.574,-1.03712e-06,3.52859e-05,6.53267e-06,0.100033
0.576,-9.53674e-08,3.71933e-05,6.36578e-06,0.100034
0.578,-3.45707e-07,4.31538e-05,6.18696e-06,0.100036
0.58,-1.78814e-07,1.3113e-05,6.44922e-06,0.100033
0.582,-6.07967e-07,2.36034e-05,6.44922e-06,0.100035
0.584,-5.24521e-07,4.41074e-05,6.44922e-06,0.100036
0.586,-3.45707e-07,2.47955e-05,6.44922e-06,0.100035
0.588,-6.07967e-07,4.00543e-05,6.23465e-06,0.100042
0.59,-4.76837e-08,3.24249e-05,6.49691e-06,0.100041
0.592,-8.58307e-07,2.26498e-05,6.40154e-06,0.100043
0.594,-7.7486e-07,3.71933e-05,6.18696e-06,0.100035
0.596,-6.4373e-07,4.1008e-05,6.31809e-06,0.100033
0.598,-6.07967e-07,2.47955e-05,6.1512e-06,0.100043
0.6,-6.07967e-07,2.95639e-05,6.23465e-06,0.100036
0.602,-2.6226e-07,1.69277e-05,6.28233e-06,0.100037
0.604,-8.22544e-07,3.8147e-05,6.1512e-06,0.100043
0.606,-5.60284e-07,5.96046e-05,6.06775e-06,0.100037
0.608,-5.60284e-07,3.91006e-05,6.40154e-06,0.100038
0.61,4.64916e-07,3.33786e-05,6.44922e-06,0.100033
0.612,-1.78814e-07,2.07424e-05,6.28233e-06,0.100042
0.614,-7.27177e-07,1.40667e-05,6.28233e-06,0.100037
0.616,-3.09944e-07,3.05176e-05,6.53267e-06,0.100039
0.618,-4.76837e-07,3.33786e-05,6.28233e-06,0.100041
0.62,-9.05991e-07,2.57492e-05,6.06775e-06,0.100036
0.622,-4.76837e-07,2.47955e-05,6.28233e-06,0.10004
0.624,-5.24521e-07,4.31538e-05,6.36578e-06,0.10004
0.626,-7.27177e-07,4.41074e-05,6.23465e-06,0.100039
0.628,-4.76837e-08,3.33786e-05,6.31809e-06,0.100039
0.63,-8.22544e-07,3.24249e-05,6.83069e-06,0.100031
0.632,-4.76837e-07,3.52859e-05,6.23465e-06,0.100038
0.634,-3.09944e-07,2.67029e-05,6.40154e-06,0.100039
0.636,-6.07967e-07,3.43323e-05,6.44922e-06,0.100034
0.638,-4.76837e-07,4.50611e-05,6.28233e-06,0.100037
0.64,-3.93391e-07,4.41074e-05,6.44922e-06,0.10004
0.642,-1.41859e-06,3.14713e-05,6.36578e-06,0.100042
0.644,-4.29153e-07,3.91006e-05,6.06775e-06,0.100041
0.646,-6.4373e-07,3.52859e-05,6.28233e-06,0.100037
0.648,-4.76837e-07,3.43323e-05,6.1512e-06,0.100029
0.65,-9.89437e-07,3.52859e-05,6.23465e-06,0.10004
0.652,-2.6226e-07,3.62396e-05,6.28233e-06,0.100038
0.654,-6.4373e-07,2.47955e-05,6.58035e-06,0.100037
0.656,-3.45707e-07,5.17368e-05,6.1512e-06,0.100043
0.658,3.57628e-08,4.50611e-05,6.44922e-06,0.10004
0.66,-4.76837e-08,3.71933e-05,6.58035e-06,0.100035
0.662,-9.41753e-07,3.43323e-05,6.31809e-06,0.100033
0.664,-9.89437e-07,3.91006e-05,6.40154e-06,0.100035
0.666,-7.7486e-07,5.96046e-05,6.49691e-06,0.10004
0.668,-6.4373e-07,3.43323e-05,5.72205e-06,0.100044
0.67,-3.45707e-07,3.05176e-05,6.28233e-06,0.100036
0.672,-1.07288e-06,2.67029e-05,6.36578e-06,0.100036
0.674,-6.07967e-07,3.33786e-05,6.10352e-06,0.100042
0.676,-4.29153e-07,2.67029e-05,6.18696e-06,0.100037
0.678,-2.6226e-07,3.91006e-05,6.31809e-06,0.100041
0.68,-1.07288e-06,3.14713e-05,6.49691e-06,0.100043
0.682,-5.60284e-07,2.16961e-05,6.61612e-06,0.100033
0.684,-4.29153e-07,1.50204e-05,6.49691e-06,0.100032
0.686,-1.03712e-06,4.79221e-05,6.31809e-06,0.100029
0.688,-9.41753e-07,4.31538e-05,6.44922e-06,0.100036
0.69,-6.07967e-07,4.60148e-05,6.40154e-06,0.100041
0.692,-2.6226e-07,2.36034e-05,5.72205e-06,0.100036
0.694,-3.09944e-07,2.36034e-05,6.83069e-06,0.100022
0.696,-6.91414e-07,3.62396e-05,6.44922e-06,0.100038
0.698,-9.05991e-07,2.76566e-05,6.28233e-06,0.100035
0.7,-6.07967e-07,2.67029e-05,6.1512e-06,0.100035
0.702,8.34465e-08,1.78814e-05,6.40154e-06,0.100034
0.704,-9.89437e-07,1.50204e-05,6.58035e-06,0.100041
0.706,-3.45707e-07,3.05176e-05,6.6638e-06,0.100043
0.708,-7.27177e-07,3.8147e-05,6.44922e-06,0.100033
0.71,-9.53674e-08,3.24249e-05,6.18696e-06,0.100038
0.712,-2.14577e-07,3.24249e-05,6.28233e-06,0.100038
0.714,-1.20401e-06,3.91006e-05,6.18696e-06,0.10004
0.716,-6.4373e-07,2.47955e-05,5.76973e-06,0.100037
0.718,-6.07967e-07,3.14713e-05,6.31809e-06,0.100037
0.72,-4.76837e-07,4.69685e-05,6.28233e-06,0.100035
0.722,-2.14577e-07,3.91006e-05,6.36578e-06,0.100045
0.724,-4.76837e-07,3.52859e-05,6.49691e-06,0.100036
0.726,-5.24521e-07,4.22001e-05,6.53267e-06,0.100033
0.728,-1.03712e-06,5.07832e-05,6.36578e-06,0.100044
0.73,-1.03712e-06,3.91006e-05,6.36578e-06,0.100037
0.732,-4.76837e-07,1.5974e-05,6.53267e-06,0.100036
0.734,-4.76837e-07,3.91006e-05,6.31809e-06,0.100032
0.736,-4.76837e-08,3.14713e-05,6.40154e-06,0.100037
0.738,-9.05991e-07,3.52859e-05,6.58035e-06,0.100039
0.74,-4.76837e-07,5.55515e-05,6.71148e-06,0.100034
0.742,0.0,3.91006e-05,6.1512e-06,0.100033
0.744,-4.29153e-07,1.97887e-05,6.44922e-06,0.100033
0.746,-5.24521e-07,4.1008e-05,6.44922e-06,0.100034
0.748,-1.12057e-06,5.26905e-05,6.31809e-06,0.100038
0.75,-2.6226e-07,4.31538e-05,6.44922e-06,0.100035
0.752,-6.91414e-07,4.22001e-05,6.71148e-06,0.100037
0.754,-7.27177e-07,3.33786e-05,6.28233e-06,0.100035
0.756,-4.76837e-07,4.1008e-05,6.53267e-06,0.100036
0.758,-6.07967e-07,5.45979e-05,6.49691e-06,0.100035
0.76,-5.24521e-07,4.31538e-05,6.23465e-06,0.100037
0.762,-6.4373e-07,3.05176e-05,6.44922e-06,0.100036
0.764,-8.22544e-07,3.43323e-05,6.49691e-06,0.100037
0.766,-6.07967e-07,2.86102e-05,6.10352e-06,0.100036
0.768,-5.60284e-07,3.14713e-05,6.31809e-06,0.10004
0.77,-1.03712e-06,2.76566e-05,6.49691e-06,0.100034
0.772,-6.91414e-07,4.00543e-05,6.23465e-06,0.10003
0.774,-6.4373e-07,2.86102e-05,6.28233e-06,0.100039
0.776,-5.24521e-07,5.36442e-05,6.6638e-06,0.100033
0.778,-4.29153e-07,3.91006e-05,6.28233e-06,0.10004
0.78,-3.93391e-07,2.57492e-05,6.36578e-06,0.100035
0.782,-1.2517e-06,3.52859e-05,6.36578e-06,0.100038
0.784,-9.53674e-08,3.33786e-05,6.40154e-06,0.100036
0.786,-1.78814e-07,3.71933e-05,6.40154e-06,0.100036
0.788,-6.91414e-07,4.79221e-05,6.53267e-06,0.100035
0.79,-3.93391e-07,4.1008e-05,5.80549e-06,0.100039
0.792,-5.60284e-07,2.86102e-05,6.49691e-06,0.100035
0.794,-3.45707e-07,1.40667e-05,6.31809e-06,0.100037
0.796,-8.22544e-07,3.33786e-05,6.1512e-06,0.100038
0.798,-7.7486e-07,3.52859e-05,6.1512e-06,0.100039
0.8,-3.45707e-07,2.57492e-05,6.40154e-06,0.100036
0.802,-5.24521e-07,3.05176e-05,5.98431e-06,0.100038
0.804,-6.4373e-07,2.36034e-05,6.31809e-06,0.100034
0.806,-1.3113e-07,3.14713e-05,6.28233e-06,0.100037
0.808,-7.7486e-07,2.36034e-05,6.1512e-06,0.10004
0.81,-5.24521e-07,5.45979e-05,6.49691e-06,0.100041
0.812,-5.24521e-07,3.52859e-05,6.58035e-06,0.100038
