Timestamp (s),Current SMUA (A),Voltage SMUA (V),Current SMUb (A),Voltage SMUb (V)
0.578,-1.3113e-07,1.50204e-05,5.45979e-06,0.100041
0.58,-1.3113e-07,1.78814e-05,5.85318e-06,0.100037
0.582,-2.6226e-07,2.16961e-05,5.72205e-06,0.100037
0.584,-6.07967e-07,1.97887e-05,5.80549e-06,0.100035
0.586,-4.29153e-07,2.07424e-05,5.72205e-06,0.10004
0.588,-5.60284e-07,1.21593e-05,5.93662e-06,0.10004
0.59,-2.6226e-07,8.34465e-06,5.20945e-06,0.100038
0.592,-3.93391e-07,3.33786e-06,5.50747e-06,0.100035
0.594,-3.45707e-07,1.88351e-05,5.6386e-06,0.10004
0.596,-1.78814e-07,3.71933e-05,5.76973e-06,0.100039
0.598,-6.07967e-07,2.76566e-05,5.59092e-06,0.100043
0.6,-2.14577e-07,3.33786e-05,5.50747e-06,0.100039
0.602,-3.45707e-07,2.86102e-05,5.93662e-06,0.100033
0.604,-3.09944e-07,4.76837e-07,5.50747e-06,0.100037
0.606,-3.09944e-07,2.57492e-05,5.6386e-06,0.100033
0.608,-5.60284e-07,2.86102e-05,5.72205e-06,0.100037
0.61,-5.24521e-07,1.5974e-05,5.59092e-06,0.100039
0.612,-3.09944e-07,3.62396e-05,5.6386e-06,0.100036
0.614,-3.45707e-07,2.76566e-05,5.80549e-06,0.100037
0.616,-2.6226e-07,2.86102e-05,5.37634e-06,0.100044
0.618,-2.14577e-07,4.29153e-06,5.72205e-06,0.100034
0.62,-6.07967e-07,1.97887e-05,5.50747e-06,0.100041
0.622,-4.29153e-07,1.97887e-05,5.59092e-06,0.100037
0.624,-4.76837e-07,3.91006e-05,5.55515e-06,0.100038
0.626,0.0,3.33786e-05,5.42402e-06,0.100035
0.628,-7.27177e-07,2.45571e-05,6.02007e-06,0.100039
0.63,-1.78814e-07,3.91006e-05,5.93662e-06,0.100038
0.632,-3.45707e-07,4.22001e-05,5.72205e-06,0.100035
0.634,-3.93391e-07,4.1008e-05,5.72205e-06,0.100036
0.636,-4.29153e-07,4.69685e-05,5.55515e-06,0.100037
0.638,-8.22544e-07,2.57492e-05,5.42402e-06,0.100038
0.64,3.57628e-08,2.36034e-05,5.76973e-06,0.100032
0.642,-3.45707e-07,1.12057e-05,5.72205e-06,0.100038
0.644,-4.76837e-07,3.91006e-05,5.34058e-06,0.100038
0.646,3.57628e-08,4.00543e-05,5.72205e-06,0.100034
0.648,-2.14577e-07,2.36034e-05,5.72205e-06,0.100041
0.65,-1.3113e-07,2.45571e-05,5.45979e-06,0.100037
0.652,-2.6226e-07,2.26498e-05,5.76973e-06,0.100039
0.654,-6.4373e-07,1.88351e-05,5.76973e-06,0.100034
0.656,-2.6226e-07,3.71933e-05,5.80549e-06,0.100034
0.658,-3.09944e-07,3.05176e-05,5.67436e-06,0.100029
0.66,-6.4373e-07,2.26498e-05,5.98431e-06,0.100031
0.662,-9.53674e-08,3.24249e-05,5.85318e-06,0.100039
0.664,-2.14577e-07,1.97887e-05,5.29289e-06,0.100039
0.666,-1.78814e-07,1.69277e-05,5.67436e-06,0.100036
0.668,-6.4373e-07,4.00543e-05,5.80549e-06,0.100035
0.67,-5.24521e-07,2.07424e-05,5.55515e-06,0.100033
